year|statement|section|subsection|row_type|description|source_url|source_page|notes|final_budget_zmw|actual_amount_zmw|calculated_variance_zmw
2022|Budget comparison|receipts||detail|Local Taxes|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||628517.0|695694.0|67177.0
2022|Budget comparison|receipts||detail|Fees and Charges|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||11282456.0|8638097.0|-2644359.0
2022|Budget comparison|receipts||detail|Licences|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||192500.0|183360.0|-9140.0
2022|Budget comparison|receipts||detail|Levies|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||123900.0|140638.0|16738.0
2022|Budget comparison|receipts||detail|Permits|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||1544250.0|1164859.0|-379391.0
2022|Budget comparison|receipts||detail|Local Government Equalisation Fund|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||9240895.0|8731522.0|-509373.0
2022|Budget comparison|receipts||detail|Constituency Development Fund|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||25700000.0|23739911.0|-1960089.0
2022|Budget comparison|receipts||detail|Other Grants|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||180000.0|277720.0|97720.0
2022|Budget comparison|receipts||detail|Borrowings|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||||
2022|Budget comparison|receipts||detail|Commercial Venture|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||||
2022|Budget comparison|receipts||detail|Other Receipts|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||1138465.0|410627.0|-727838.0
2022|Budget comparison|receipts||total|TOTAL RECEIPTS|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||50030983.0|43982428.0|-6048555.0
2022|Budget comparison|payments||detail|Personal Emoluments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||11871484.0|11683871.0|-187613.0
2022|Budget comparison|payments||detail|Use of Goods and Services|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||32814799.0|12865891.0|-19948908.0
2022|Budget comparison|payments||detail|Financial Charges|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||||
2022|Budget comparison|payments||detail|Social Benefits|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||||
2022|Budget comparison|payments||detail|Non-Financial Assets Acquisition|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||3705700.0|3099650.0|-606050.0
2022|Budget comparison|payments||detail|Financial Assets|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12|||44055.0|
2022|Budget comparison|payments||detail|Loan Repayments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||||
2022|Budget comparison|payments||detail|Other Payments|http://www.chirunducouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022-Signed-Copy.pdf|12||1639000.0|660413.0|-978587.0
